name;scientific_name;taxon_kingdom;taxon_group;taxon_family;habitat;habitat_type;trophic_role;origin_status;iucn_status;site;niveau_preuve;source_ou_remarque
Gélidium;Gelidium corneum (syn. G. sesquipedale);Algue rouge (Rhodophytes);Rhodophytes;Gelidiaceae;Platier, infralittoral;aquatique;producteur;indigène;;El Jadida, façade;documenté;"CHM-CBD Maroc ; Sabour et al."
Sargasse japonaise;Sargassum muticum;Algue brune (Straménopiles);Phéophycées;Sargassaceae;Platier, cuvettes;aquatique;producteur;envahissante;;Doukkala, El Jadida;documenté;Sabour et al. 2013
Cystoseire tamariscifoliée;Ericaria tamariscifolia (syn. Cystoseira tamariscifolia);Algue brune (Straménopiles);Phéophycées;Sargassaceae;Médiolittoral inférieur;aquatique;producteur;indigène;;façade;documenté;CHM-CBD Maroc
Fucus spiralé;Fucus spiralis;Algue brune (Straménopiles);Phéophycées;Fucaceae;Médiolittoral supérieur;aquatique;producteur;indigène;;façade;documenté;CHM-CBD Maroc
Gigartine;Gigartina pistillata;Algue rouge (Rhodophytes);Rhodophytes;Gigartinaceae;Médiolittoral inférieur;aquatique;producteur;indigène;;façade;documenté;CHM-CBD Maroc
Bifurcaire;Bifurcaria bifurcata;Algue brune (Straménopiles);Phéophycées;Sargassaceae;Cuvettes;aquatique;producteur;indigène;;façade;attendu;
Laitue de mer;Ulva spp.;Algue verte (Chlorophytes);Chlorophytes;Ulvaceae;Platier, zones enrichies;aquatique;producteur;indigène;;Mohammedia, El Jadida;attendu;bio-indicatrice d'enrichissement
Codium;Codium tomentosum;Algue verte (Chlorophytes);Chlorophytes;Codiaceae;Cuvettes;aquatique;producteur;indigène;;façade;attendu;
Coralline;Ellisolandia elongata;Algue rouge (Rhodophytes);Rhodophytes;Corallinaceae;Cuvettes;aquatique;producteur;indigène;;façade;attendu;
Asparagopsis;Asparagopsis armata;Algue rouge (Rhodophytes);Rhodophytes;Bonnemaisoniaceae;Infralittoral;aquatique;producteur;introduite;;façade;attendu;à confirmer localement
Pterocladiella;Pterocladiella capillacea;Algue rouge (Rhodophytes);Rhodophytes;Pterocladiaceae;Médiolittoral inférieur;aquatique;producteur;indigène;;façade;attendu;
Laminaire dorée;Laminaria ochroleuca;Algue brune (Straménopiles);Phéophycées;Laminariaceae;Infralittoral;aquatique;producteur;indigène;;Tanger, détroit;attendu;
Zostère naine;Zostera noltei;Végétal (Chlorobiontes);Angiospermes;Zosteraceae;Vasières lagunaires;aquatique;producteur;indigène;;Merja Zerga, Sidi Moussa, Oualidia;documenté;"Bououarour ; PMC10149629"
Lichen noir des rochers;Hydropunctaria maura;Champignon (Fungi);Lichens;Verrucariaceae;Supralittoral;terrestre;producteur;indigène;;façade;attendu;symbiose champignon-algue
Moule méditerranéenne;Mytilus galloprovincialis;Animal (Métazoaires);Mollusques;Mytilidae;Médiolittoral moyen;aquatique;consommateur;indigène;;Azemmour→Essaouira;documenté;"RSMA 2024 ; Mannas 2014"
Moule africaine;Perna perna;Animal (Métazoaires);Mollusques;Mytilidae;Médiolittoral battu;aquatique;consommateur;indigène;;"Agadir (sud) ; à rechercher";documenté;Agadir, littérature
Patelle rustique;Patella rustica;Animal (Métazoaires);Mollusques;Patellidae;Médiolittoral supérieur;aquatique;consommateur;indigène;;façade;attendu;
Patelle déprimée;Patella depressa;Animal (Métazoaires);Mollusques;Patellidae;Médiolittoral;aquatique;consommateur;indigène;;façade;attendu;
Patelle d'Ulysse;Patella ulyssiponensis;Animal (Métazoaires);Mollusques;Patellidae;Médiolittoral inférieur;aquatique;consommateur;indigène;;façade;attendu;
Siphonaire;Siphonaria pectinata;Animal (Métazoaires);Mollusques;Siphonariidae;Médiolittoral;aquatique;consommateur;indigène;;façade;attendu;pulmoné, faux « chapeau chinois »
Bigorneau perceur;Stramonita haemastoma;Animal (Métazoaires);Mollusques;Muricidae;Médiolittoral inférieur;aquatique;consommateur;indigène;;façade;attendu;prédateur de moules
Gibbule ombiliquée;Steromphala umbilicalis;Animal (Métazoaires);Mollusques;Trochidae;Algues, platier;aquatique;consommateur;indigène;;NW Atlantique marocain;documenté;ESPR 2020
Gibbule de Pennant;Steromphala pennanti;Animal (Métazoaires);Mollusques;Trochidae;Algues, platier;aquatique;consommateur;indigène;;NW Atlantique marocain;documenté;ESPR 2020
Rissoa;Rissoa parva;Animal (Métazoaires);Mollusques;Rissoidae;Épiphyte des algues;aquatique;consommateur;indigène;;NW Atlantique marocain;documenté;ESPR 2020
Monodonte;Phorcus lineatus;Animal (Métazoaires);Mollusques;Trochidae;Médiolittoral;aquatique;consommateur;indigène;;façade;attendu;
Littorine des rochers;Melarhaphe neritoides;Animal (Métazoaires);Mollusques;Littorinidae;Supralittoral;aquatique;consommateur;indigène;;façade;attendu;
