table,module,chemin,acces,nb_references,domaine_module
app_settings,lib/helpContent,lib/helpContent.js,RW,2,transverse
app_settings,lib/helpNarrator,lib/helpNarrator.js,RW,2,transverse
app_settings,lib/mediaLibraryUsage,lib/mediaLibraryUsage.js,R,2,transverse
app_settings,lib/settings,lib/settings.js,R,1,transverse
app_settings,lib/shared/settingsStore,lib/shared/settingsStore.js,RW,2,transverse
app_settings,lib/tourContent,lib/tourContent.js,RW,2,transverse
app_settings,lib/visitMascotBuiltinSeed,lib/visitMascotBuiltinSeed.js,RW,2,terrain
app_settings,lib/visitMascotVisibility,lib/visitMascotVisibility.js,RW,2,terrain
app_settings,scripts/check-gating-policy,scripts/check-gating-policy.js,R,1,script
app_settings,scripts/compact-help-registry,scripts/compact-help-registry.js,RW,2,script
audit_log,lib/accountMerge,lib/accountMerge.js,RW,8,identite
audit_log,lib/auditLog,lib/auditLog.js,W,1,transverse
audit_log,lib/tasks/taskQueries,lib/tasks/taskQueries.js,R,1,taches
audit_log,routes/audit,routes/audit.js,R,1,transverse
audit_log,routes/tasks,routes/tasks.js,R,1,taches
audit_log,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
audit_log,scripts/purge-audit-logs,scripts/purge-audit-logs.js,RW,2,script
clades,routes/clades,routes/clades.js,RW,12,biodiversite
context_comment_reactions,lib/accountMerge,lib/accountMerge.js,RW,4,identite
context_comment_reactions,lib/shared/contextCommentsCore,lib/shared/contextCommentsCore.js,RW,4,social
context_comment_reactions,lib/studentDeletion,lib/studentDeletion.js,W,1,identite
context_comment_reports,lib/accountMerge,lib/accountMerge.js,RW,4,identite
context_comment_reports,lib/studentDeletion,lib/studentDeletion.js,W,1,identite
context_comment_reports,routes/context-comments,routes/context-comments.js,RW,2,social
context_comments,lib/accountMerge,lib/accountMerge.js,RW,4,identite
context_comments,lib/notificationEvents,lib/notificationEvents.js,R,1,social
context_comments,lib/placeMessages,lib/placeMessages.js,RW,5,terrain
context_comments,lib/shared/contextCommentsCore,lib/shared/contextCommentsCore.js,RW,8,social
context_comments,lib/studentDeletion,lib/studentDeletion.js,W,1,identite
context_comments,routes/context-comments,routes/context-comments.js,R,2,social
context_comments,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
curriculum_notions,lib/curriculumNotions,lib/curriculumNotions.js,R,10,pedagogie
curriculum_notions,routes/curriculum,routes/curriculum.js,R,2,pedagogie
external_group_members,lib/accountMerge,lib/accountMerge.js,RW,4,identite
external_group_members,lib/moodle/apply,lib/moodle/apply.js,W,3,identite
external_group_members,lib/moodle/conflicts,lib/moodle/conflicts.js,W,4,identite
external_group_members,lib/moodle/journal,lib/moodle/journal.js,R,1,identite
external_group_members,lib/moodle/localState,lib/moodle/localState.js,R,1,identite
external_group_members,lib/moodle/syncRun,lib/moodle/syncRun.js,R,1,identite
external_group_members,lib/moodle/undo,lib/moodle/undo.js,W,3,identite
external_groups,lib/moodle/apply,lib/moodle/apply.js,W,5,identite
external_groups,lib/moodle/conflicts,lib/moodle/conflicts.js,RW,3,identite
external_groups,lib/moodle/journal,lib/moodle/journal.js,W,1,identite
external_groups,lib/moodle/localState,lib/moodle/localState.js,R,2,identite
external_groups,lib/moodle/syncRun,lib/moodle/syncRun.js,R,1,identite
external_groups,lib/moodle/teamsMirror,lib/moodle/teamsMirror.js,R,4,identite
external_groups,lib/moodle/undo,lib/moodle/undo.js,RW,6,identite
external_groups,routes/admin/moodle,routes/admin/moodle.js,R,1,identite
external_identities,lib/accountMerge,lib/accountMerge.js,RW,6,identite
external_identities,lib/lti/identity,lib/lti/identity.js,RW,4,identite
external_identities,lib/moodle/apply,lib/moodle/apply.js,W,1,identite
external_identities,lib/moodle/conflicts,lib/moodle/conflicts.js,R,1,identite
external_identities,lib/moodle/localState,lib/moodle/localState.js,R,1,identite
external_identities,lib/moodle/pendingMatches,lib/moodle/pendingMatches.js,R,2,identite
external_identities,lib/moodle/teamsMirror,lib/moodle/teamsMirror.js,R,1,identite
external_identities,lib/moodle/undo,lib/moodle/undo.js,W,1,identite
external_identities,lib/moodle/writers,lib/moodle/writers.js,RW,2,identite
external_identities,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
forum_post_reactions,lib/accountMerge,lib/accountMerge.js,RW,4,identite
forum_post_reactions,lib/shared/forumCore,lib/shared/forumCore.js,RW,4,social
forum_post_reactions,lib/studentDeletion,lib/studentDeletion.js,W,1,identite
forum_posts,lib/accountMerge,lib/accountMerge.js,RW,4,identite
forum_posts,lib/notifications,lib/notifications.js,R,1,social
forum_posts,lib/shared/forumCore,lib/shared/forumCore.js,RW,15,social
forum_posts,lib/studentDeletion,lib/studentDeletion.js,W,1,identite
forum_posts,routes/forum,routes/forum.js,R,1,social
forum_posts,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
forum_reports,lib/accountMerge,lib/accountMerge.js,RW,4,identite
forum_reports,lib/shared/forumCore,lib/shared/forumCore.js,RW,7,social
forum_reports,lib/studentDeletion,lib/studentDeletion.js,W,1,identite
forum_threads,lib/accountMerge,lib/accountMerge.js,RW,4,identite
forum_threads,lib/notificationEvents,lib/notificationEvents.js,R,1,social
forum_threads,lib/notifications,lib/notifications.js,R,1,social
forum_threads,lib/shared/forumCore,lib/shared/forumCore.js,RW,9,social
forum_threads,lib/studentDeletion,lib/studentDeletion.js,W,1,identite
forum_threads,routes/forum,routes/forum.js,R,5,social
forum_threads,routes/groups,routes/groups.js,W,1,identite
forum_threads,scripts/anonymize-local-db,scripts/anonymize-local-db.js,W,1,script
glossary_category_notions,lib/curriculumNotions,lib/curriculumNotions.js,R,4,pedagogie
glossary_category_notions,routes/curriculum,routes/curriculum.js,W,2,pedagogie
glossary_term_interactions,routes/food-web,routes/food-web.js,R,1,biodiversite
glossary_term_interactions,scripts/audit-pedago-content,scripts/audit-pedago-content.js,R,1,script
glossary_term_interactions,scripts/import-biodiv-pedago,scripts/import-biodiv-pedago.js,RW,2,script
glossary_term_notions,lib/curriculumNotions,lib/curriculumNotions.js,R,3,pedagogie
glossary_term_notions,routes/curriculum,routes/curriculum.js,W,3,pedagogie
glossary_term_relations,routes/glossary,routes/glossary.js,R,2,pedagogie
